hub_file,slug,title,column,length,min_recommended
comparisons.csv,koyou-teiki-kenshin,雇入時健康診断と定期健康診断,common_mistakes,19,20
comparisons.csv,ichiji-teiki-sokutei,作業環境測定の種類,common_mistakes,17,20
comparisons.csv,anzen-eisei-iinkai,安全衛生委員会と衛生委員会,common_mistakes,15,20
comparisons.csv,risk-chemical,リスクアセスメントと化学物質管理,common_mistakes,18,20
comparisons.csv,risk-chemical,リスクアセスメントと化学物質管理,memory_tip,14,15
comparisons.csv,niji-teiki-kenshin,二次健康診断と定期健康診断,common_mistakes,18,20
comparisons.csv,senmu-sennin,専任と兼務の衛生管理者,common_mistakes,15,20
comparisons.csv,nikkin-yakin-kenshin,日勤健診と夜勤・深夜業の健康管理,memory_tip,13,15
comparisons.csv,teiki-tokushu-kenshin,定期健康診断と特殊健康診断,common_mistakes,19,20
comparisons.csv,anzen-eisei-iinkai-s32,委員会設置の人数基準比較（手続確認）,common_mistakes,15,20
comparisons.csv,yukibaiyo-tokutei-s32,有機溶剤と特定化学物質（手続確認）,article_lead,36,40
comparisons.csv,high-pressure-work-compare-s33,高気圧作業管理の比較（数値確認）,article_lead,35,40
comparisons.csv,midnight-work-compare-s33,深夜業と健康管理の比較（数値確認）,article_lead,34,40
comparisons.csv,health-result-notice-compare-s33,健診結果通知の比較（数値確認）,article_lead,32,40
comparisons.csv,measurement-expert-compare-s33,作業環境測定者論点の比較（数値確認）,article_lead,37,40
comparisons.csv,safety-manager-role-compare-s33,安全管理者の役割比較（数値確認）,article_lead,39,40
comparisons.csv,oxygen-deficiency-compare-s34,酸素欠乏管理の比較（頻出整理）,article_lead,30,40
comparisons.csv,tokuka-second-compare-s34,特定化学物質第二種管理の比較（頻出整理）,article_lead,32,40
comparisons.csv,occupational-physician-appointment-compare-s34,産業医選任論点の比較（頻出整理）,article_lead,38,40
comparisons.csv,committee-record-compare-s34,衛生委員会記録の比較（頻出整理）,article_lead,31,40
comparisons.csv,worker-representative-compare-s34,労働者代表論点の比較（頻出整理）,article_lead,31,40
comparisons.csv,work-env-eval-compare-s35,作業環境評価の比較（基礎整理）,article_lead,37,40
comparisons.csv,health-exam-types-compare-s35,健康診断種別の比較（基礎整理）,article_lead,37,40
comparisons.csv,education-system-compare-s35,教育訓練体系の比較（基礎整理）,article_lead,37,40
comparisons.csv,committee-operation-compare-s35,委員会運営の比較（基礎整理）,article_lead,36,40
comparisons.csv,ppe-selection-compare-s35,保護具選定の比較（基礎整理）,article_lead,36,40
comparisons.csv,noise-vibration-compare-s35,騒音振動管理の比較（基礎整理）,article_lead,37,40
comparisons.csv,radiation-mgmt-compare-s35,放射線管理の比較（基礎整理）,article_lead,36,40
comparisons.csv,night-shift-mgmt-compare-s35,深夜業管理の比較（基礎整理）,article_lead,36,40
comparisons.csv,record-retention-compare-s35,記録保存の比較（基礎整理）,article_lead,35,40
comparisons.csv,record-retention-compare-s39,記録保存の比較（横断総合）,article_lead,39,40
comparisons.csv,chem-mgmt-record-compare-s40,化学物質管理記録の比較（深化整理）,article_lead,37,40
comparisons.csv,work-env-measure-plan-compare-s40,作業環境測定計画の比較（深化整理）,article_lead,37,40
comparisons.csv,health-exam-followup-compare-s40,健康診断事後措置の比較（深化整理）,article_lead,37,40
comparisons.csv,safety-edu-plan-compare-s40,安全衛生教育計画の比較（深化整理）,article_lead,37,40
comparisons.csv,committee-minutes-compare-s40,委員会議事の比較（深化整理）,article_lead,34,40
comparisons.csv,committee-minutes-compare-s40,委員会議事の比較（深化整理）,memory_tip,12,15
comparisons.csv,ppe-mgmt-compare-s40,保護具管理の比較（深化整理）,article_lead,34,40
comparisons.csv,ppe-mgmt-compare-s40,保護具管理の比較（深化整理）,memory_tip,12,15
comparisons.csv,noise-hearing-mgmt-compare-s40,騒音聴力管理の比較（深化整理）,article_lead,35,40
comparisons.csv,noise-hearing-mgmt-compare-s40,騒音聴力管理の比較（深化整理）,memory_tip,13,15
comparisons.csv,vibration-mgmt-compare-s40,振動管理の比較（深化整理）,article_lead,33,40
comparisons.csv,vibration-mgmt-compare-s40,振動管理の比較（深化整理）,memory_tip,11,15
comparisons.csv,record-retention-period-compare-s40,記録保存期間の比較（深化整理）,article_lead,35,40
comparisons.csv,record-retention-period-compare-s40,記録保存期間の比較（深化整理）,memory_tip,13,15
comparisons.csv,risk-assess-impl-compare-s41,リスクアセスメント実施の比較（現場応用）,article_lead,37,40
comparisons.csv,chem-mgmt-record-compare-s41,化学物質管理記録の比較（現場応用）,article_lead,34,40
comparisons.csv,work-env-measure-plan-compare-s41,作業環境測定計画の比較（現場応用）,article_lead,34,40
comparisons.csv,health-exam-followup-compare-s41,健康診断事後措置の比較（現場応用）,article_lead,34,40
comparisons.csv,safety-edu-plan-compare-s41,安全衛生教育計画の比較（現場応用）,article_lead,34,40
comparisons.csv,committee-minutes-compare-s41,委員会議事の比較（現場応用）,article_lead,31,40
comparisons.csv,committee-minutes-compare-s41,委員会議事の比較（現場応用）,memory_tip,12,15
comparisons.csv,ppe-mgmt-compare-s41,保護具管理の比較（現場応用）,article_lead,31,40
comparisons.csv,ppe-mgmt-compare-s41,保護具管理の比較（現場応用）,memory_tip,12,15
comparisons.csv,noise-hearing-mgmt-compare-s41,騒音聴力管理の比較（現場応用）,article_lead,32,40
comparisons.csv,noise-hearing-mgmt-compare-s41,騒音聴力管理の比較（現場応用）,memory_tip,13,15
comparisons.csv,vibration-mgmt-compare-s41,振動管理の比較（現場応用）,article_lead,30,40
comparisons.csv,vibration-mgmt-compare-s41,振動管理の比較（現場応用）,memory_tip,11,15
comparisons.csv,record-retention-period-compare-s41,記録保存期間の比較（現場応用）,article_lead,32,40
comparisons.csv,record-retention-period-compare-s41,記録保存期間の比較（現場応用）,memory_tip,13,15
comparisons.csv,chem-mgmt-record-compare-s42,化学物質管理記録の比較（頻出再整理）,article_lead,38,40
comparisons.csv,work-env-measure-plan-compare-s42,作業環境測定計画の比較（頻出再整理）,article_lead,38,40
comparisons.csv,health-exam-followup-compare-s42,健康診断事後措置の比較（頻出再整理）,article_lead,38,40
comparisons.csv,safety-edu-plan-compare-s42,安全衛生教育計画の比較（頻出再整理）,article_lead,38,40
comparisons.csv,committee-minutes-compare-s42,委員会議事の比較（頻出再整理）,article_lead,35,40
comparisons.csv,committee-minutes-compare-s42,委員会議事の比較（頻出再整理）,memory_tip,12,15
comparisons.csv,ppe-mgmt-compare-s42,保護具管理の比較（頻出再整理）,article_lead,35,40
comparisons.csv,ppe-mgmt-compare-s42,保護具管理の比較（頻出再整理）,memory_tip,12,15
comparisons.csv,noise-hearing-mgmt-compare-s42,騒音聴力管理の比較（頻出再整理）,article_lead,36,40
comparisons.csv,noise-hearing-mgmt-compare-s42,騒音聴力管理の比較（頻出再整理）,memory_tip,13,15
comparisons.csv,vibration-mgmt-compare-s42,振動管理の比較（頻出再整理）,article_lead,34,40
comparisons.csv,vibration-mgmt-compare-s42,振動管理の比較（頻出再整理）,memory_tip,11,15
comparisons.csv,record-retention-period-compare-s42,記録保存期間の比較（頻出再整理）,article_lead,36,40
comparisons.csv,record-retention-period-compare-s42,記録保存期間の比較（頻出再整理）,memory_tip,13,15
comparisons.csv,chem-mgmt-record-compare-s43,化学物質管理記録の比較（ガイド更新）,article_lead,38,40
comparisons.csv,work-env-measure-plan-compare-s43,作業環境測定計画の比較（ガイド更新）,article_lead,38,40
comparisons.csv,health-exam-followup-compare-s43,健康診断事後措置の比較（ガイド更新）,article_lead,38,40
comparisons.csv,safety-edu-plan-compare-s43,安全衛生教育計画の比較（ガイド更新）,article_lead,38,40
comparisons.csv,committee-minutes-compare-s43,委員会議事の比較（ガイド更新）,article_lead,35,40
comparisons.csv,committee-minutes-compare-s43,委員会議事の比較（ガイド更新）,memory_tip,12,15
comparisons.csv,ppe-mgmt-compare-s43,保護具管理の比較（ガイド更新）,article_lead,35,40
comparisons.csv,ppe-mgmt-compare-s43,保護具管理の比較（ガイド更新）,memory_tip,12,15
comparisons.csv,noise-hearing-mgmt-compare-s43,騒音聴力管理の比較（ガイド更新）,article_lead,36,40
comparisons.csv,noise-hearing-mgmt-compare-s43,騒音聴力管理の比較（ガイド更新）,memory_tip,13,15
comparisons.csv,vibration-mgmt-compare-s43,振動管理の比較（ガイド更新）,article_lead,34,40
comparisons.csv,vibration-mgmt-compare-s43,振動管理の比較（ガイド更新）,memory_tip,11,15
comparisons.csv,record-retention-period-compare-s43,記録保存期間の比較（ガイド更新）,article_lead,36,40
comparisons.csv,record-retention-period-compare-s43,記録保存期間の比較（ガイド更新）,memory_tip,13,15
comparisons.csv,risk-assess-impl-compare-s44,リスクアセスメント実施の比較（直前総合）,article_lead,39,40
comparisons.csv,chem-mgmt-record-compare-s44,化学物質管理記録の比較（直前総合）,article_lead,36,40
comparisons.csv,work-env-measure-plan-compare-s44,作業環境測定計画の比較（直前総合）,article_lead,36,40
comparisons.csv,health-exam-followup-compare-s44,健康診断事後措置の比較（直前総合）,article_lead,36,40
comparisons.csv,safety-edu-plan-compare-s44,安全衛生教育計画の比較（直前総合）,article_lead,36,40
comparisons.csv,committee-minutes-compare-s44,委員会議事の比較（直前総合）,article_lead,33,40
comparisons.csv,committee-minutes-compare-s44,委員会議事の比較（直前総合）,memory_tip,12,15
comparisons.csv,ppe-mgmt-compare-s44,保護具管理の比較（直前総合）,article_lead,33,40
comparisons.csv,ppe-mgmt-compare-s44,保護具管理の比較（直前総合）,memory_tip,12,15
comparisons.csv,noise-hearing-mgmt-compare-s44,騒音聴力管理の比較（直前総合）,article_lead,34,40
comparisons.csv,noise-hearing-mgmt-compare-s44,騒音聴力管理の比較（直前総合）,memory_tip,13,15
comparisons.csv,vibration-mgmt-compare-s44,振動管理の比較（直前総合）,article_lead,32,40
comparisons.csv,vibration-mgmt-compare-s44,振動管理の比較（直前総合）,memory_tip,11,15
comparisons.csv,record-retention-period-compare-s44,記録保存期間の比較（直前総合）,article_lead,34,40
comparisons.csv,record-retention-period-compare-s44,記録保存期間の比較（直前総合）,memory_tip,13,15
numbers.csv,shiken-30mon-300ten,第二種筆記試験の問題数・配点,common_mistakes,19,20
numbers.csv,juken-8800,受験手数料,common_mistakes,16,20
numbers.csv,jikan-3jikan,試験時間,common_mistakes,17,20
numbers.csv,kamoku-10zu,科目別10問,common_mistakes,17,20
numbers.csv,kamoku-10zu,科目別10問,memory_tip,10,15
numbers.csv,teiki-kenshin-shuki,定期健康診断の実施周期,common_mistakes,15,20
numbers.csv,stress-50nin,ストレスチェックの実施要件,common_mistakes,15,20
numbers.csv,kankyo-sokutei-hindo,作業環境測定の頻度,common_mistakes,15,20
numbers.csv,kankyo-sokutei-hindo,作業環境測定の頻度,memory_tip,11,15
numbers.csv,jikoku-kinmu,時効・勤務に関する数値（労基法連動）,common_mistakes,15,20
numbers.csv,taicho-kinsetsu,体温・近接の生理数値,common_mistakes,19,20
numbers.csv,noise-85-90-db,騒音管理の85dB・90dB,memory_tip,14,15
numbers.csv,wbgt-31-33,WBGT基準値（31℃・33℃等）,common_mistakes,19,20
numbers.csv,wbgt-31-33,WBGT基準値（31℃・33℃等）,memory_tip,12,15
numbers.csv,yukyu-6month-10,年次有給休暇の付与（6か月・10日）,common_mistakes,18,20
numbers.csv,yukyu-6month-10,年次有給休暇の付与（6か月・10日）,memory_tip,14,15
numbers.csv,kiroku-kenko-5year,健康診断記録の保存期間,common_mistakes,19,20
numbers.csv,sagyo-kankyo-3year,作業環境測定記録の保存期間,common_mistakes,18,20
numbers.csv,sagyo-kankyo-3year,作業環境測定記録の保存期間,memory_tip,12,15
numbers.csv,jikangai-100-month,月100時間の時間外労働上限,memory_tip,13,15
numbers.csv,acid-18-percent,酸素濃度18％と保護具選択,common_mistakes,19,20
numbers.csv,acid-18-percent,酸素濃度18％と保護具選択,memory_tip,13,15
numbers.csv,busho-hatsurei-1year,衛生管理者の選任（部長発令から1年）,memory_tip,11,15
numbers.csv,shiken-30mon-300,第二種30問・300点合格数値,common_mistakes,19,20
numbers.csv,jikan-135min,試験時間（科目免除）,common_mistakes,19,20
numbers.csv,jikan-135min,試験時間（科目免除）,memory_tip,14,15
numbers.csv,kenshu-jikan-anzen,安全衛生教育の実施時間,common_mistakes,15,20
numbers.csv,kenshu-jikan-anzen,安全衛生教育の実施時間,memory_tip,11,15
numbers.csv,tokushu-kenshin-6m,特殊健康診断の実施周期（代表）,common_mistakes,15,20
numbers.csv,tokushu-kenshin-6m,特殊健康診断の実施周期（代表）,memory_tip,11,15
numbers.csv,kanri2-nen1,第2管理区分の測定頻度,common_mistakes,16,20
numbers.csv,kanri2-nen1,第2管理区分の測定頻度,memory_tip,14,15
numbers.csv,kanki-ryo-daihyo,必要換気量の考え方,common_mistakes,15,20
numbers.csv,kanki-ryo-daihyo,必要換気量の考え方,memory_tip,11,15
numbers.csv,stress-50-jisshi,ストレスチェック50人以上,common_mistakes,16,20
numbers.csv,dust-control-num-s33,粉じん対策数値の整理（数値確認）,memory_tip,14,15
numbers.csv,high-pressure-health-num-s33,高気圧業務の数値整理（数値確認）,memory_tip,12,15
numbers.csv,midnight-care-num-s33,深夜業健康配慮の数値整理（数値確認）,memory_tip,14,15
numbers.csv,female-protection-num-s33,女性就業配慮の数値整理（数値確認）,memory_tip,13,15
numbers.csv,committee-minutes-num-s40,委員会議事の数値整理（深化整理）,memory_tip,12,15
numbers.csv,ppe-mgmt-num-s40,保護具管理の数値整理（深化整理）,memory_tip,12,15
numbers.csv,noise-hearing-mgmt-num-s40,騒音聴力管理の数値整理（深化整理）,memory_tip,13,15
numbers.csv,vibration-mgmt-num-s40,振動管理の数値整理（深化整理）,memory_tip,11,15
numbers.csv,record-retention-period-num-s40,記録保存期間の数値整理（深化整理）,memory_tip,13,15
numbers.csv,committee-minutes-num-s41,委員会議事の数値整理（現場応用）,memory_tip,12,15
numbers.csv,ppe-mgmt-num-s41,保護具管理の数値整理（現場応用）,memory_tip,12,15
numbers.csv,noise-hearing-mgmt-num-s41,騒音聴力管理の数値整理（現場応用）,memory_tip,13,15
numbers.csv,vibration-mgmt-num-s41,振動管理の数値整理（現場応用）,memory_tip,11,15
numbers.csv,record-retention-period-num-s41,記録保存期間の数値整理（現場応用）,memory_tip,13,15
numbers.csv,committee-minutes-num-s42,委員会議事の数値整理（頻出再整理）,memory_tip,12,15
numbers.csv,ppe-mgmt-num-s42,保護具管理の数値整理（頻出再整理）,memory_tip,12,15
numbers.csv,noise-hearing-mgmt-num-s42,騒音聴力管理の数値整理（頻出再整理）,memory_tip,13,15
numbers.csv,vibration-mgmt-num-s42,振動管理の数値整理（頻出再整理）,memory_tip,11,15
numbers.csv,record-retention-period-num-s42,記録保存期間の数値整理（頻出再整理）,memory_tip,13,15
numbers.csv,committee-minutes-num-s43,委員会議事の数値整理（ガイド更新）,memory_tip,12,15
numbers.csv,ppe-mgmt-num-s43,保護具管理の数値整理（ガイド更新）,memory_tip,12,15
numbers.csv,noise-hearing-mgmt-num-s43,騒音聴力管理の数値整理（ガイド更新）,memory_tip,13,15
numbers.csv,vibration-mgmt-num-s43,振動管理の数値整理（ガイド更新）,memory_tip,11,15
numbers.csv,record-retention-period-num-s43,記録保存期間の数値整理（ガイド更新）,memory_tip,13,15
numbers.csv,committee-minutes-num-s44,委員会議事の数値整理（直前総合）,memory_tip,12,15
numbers.csv,ppe-mgmt-num-s44,保護具管理の数値整理（直前総合）,memory_tip,12,15
numbers.csv,noise-hearing-mgmt-num-s44,騒音聴力管理の数値整理（直前総合）,memory_tip,13,15
numbers.csv,vibration-mgmt-num-s44,振動管理の数値整理（直前総合）,memory_tip,11,15
numbers.csv,record-retention-period-num-s44,記録保存期間の数値整理（直前総合）,memory_tip,13,15
mistakes.csv,daiichi-daini-kongou,第一種と第二種の混同,common_mistakes,18,20
mistakes.csv,sangyou-eisei-kongou,産業医と衛生管理者の混同,common_mistakes,19,20
mistakes.csv,kenshin-shuki-kongou,健康診断の周期混同,memory_tip,14,15
mistakes.csv,goukaku-180-240,合格点の混同,common_mistakes,17,20
mistakes.csv,kyokusho-zenmen-kongou,局所排気と全面換気の混同,memory_tip,10,15
mistakes.csv,yugai-hani-kongou,第二種範囲と有害業務の混同,common_mistakes,18,20
mistakes.csv,senmu-kongou,専任・巡視の混同,common_mistakes,15,20
mistakes.csv,senmu-kongou,専任・巡視の混同,memory_tip,14,15
mistakes.csv,risk-chosa-kongou,リスクアセスメント手順の混同,memory_tip,12,15
