hub_a,hub_b,kind,similarity,slug_a,slug_b,title_a,title_b
comparisons.csv,comparisons.csv,similar,0.929,kyokusho-zenmen-haiki,kyokusho-zentai-kanki,局所排気装置と全面換気の違い,局所排気装置と全体換気の違い
comparisons.csv,mistakes.csv,similar,0.880,sekininsha-iinkai,anzen-sekinin-kongou,安全衛生責任者と委員会,安全衛生責任者と委員会の混同
comparisons.csv,mistakes.csv,similar,0.880,kenshu-anzen-s32,kenshu-anzen-kongou,技能教習と安全衛生教育,技能教習と安全衛生教育の混同
comparisons.csv,mistakes.csv,similar,0.880,sagyo-shunin-eisei-s32,sagyo-eisei-kongou,作業主任者と衛生管理者,作業主任者と衛生管理者の混同
comparisons.csv,comparisons.csv,similar,0.929,noise-vibration-compare-s35,vibration-mgmt-compare-s40,騒音振動管理の比較（基礎整理）,振動管理の比較（基礎整理）
comparisons.csv,comparisons.csv,similar,0.929,record-retention-compare-s35,record-retention-period-compare-s40,記録保存の比較（基礎整理）,記録保存期間の比較（基礎整理）
comparisons.csv,comparisons.csv,similar,0.929,noise-vibration-compare-s36,vibration-mgmt-compare-s41,騒音振動管理の比較（実務連動）,振動管理の比較（実務連動）
comparisons.csv,comparisons.csv,similar,0.929,record-retention-compare-s36,record-retention-period-compare-s41,記録保存の比較（実務連動）,記録保存期間の比較（実務連動）
comparisons.csv,comparisons.csv,similar,0.929,noise-vibration-compare-s37,vibration-mgmt-compare-s42,騒音振動管理の比較（試験頻出）,振動管理の比較（試験頻出）
comparisons.csv,comparisons.csv,similar,0.929,record-retention-compare-s37,record-retention-period-compare-s42,記録保存の比較（試験頻出）,記録保存期間の比較（試験頻出）
comparisons.csv,comparisons.csv,similar,0.882,noise-vibration-compare-s38,noise-hearing-mgmt-compare-s43,騒音振動管理の比較（判例・ガイド）,騒音聴力管理の比較（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.938,noise-vibration-compare-s38,vibration-mgmt-compare-s43,騒音振動管理の比較（判例・ガイド）,振動管理の比較（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.938,record-retention-compare-s38,record-retention-period-compare-s43,記録保存の比較（判例・ガイド）,記録保存期間の比較（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.929,noise-vibration-compare-s39,vibration-mgmt-compare-s44,騒音振動管理の比較（横断総合）,振動管理の比較（横断総合）
comparisons.csv,comparisons.csv,similar,0.929,record-retention-compare-s39,record-retention-period-compare-s44,記録保存の比較（横断総合）,記録保存期間の比較（横断総合）
numbers.csv,numbers.csv,similar,0.909,anzen-eisei-50nin,iinkai-10nin,安全衛生委員会の設置基準,衛生委員会の設置基準
numbers.csv,numbers.csv,similar,0.882,noise-vibration-num-s35,noise-hearing-mgmt-num-s40,騒音振動管理の数値整理（基礎整理）,騒音聴力管理の数値整理（基礎整理）
numbers.csv,numbers.csv,similar,0.938,noise-vibration-num-s35,vibration-mgmt-num-s40,騒音振動管理の数値整理（基礎整理）,振動管理の数値整理（基礎整理）
numbers.csv,numbers.csv,similar,0.938,record-retention-num-s35,record-retention-period-num-s40,記録保存の数値整理（基礎整理）,記録保存期間の数値整理（基礎整理）
numbers.csv,numbers.csv,similar,0.882,noise-vibration-num-s36,noise-hearing-mgmt-num-s41,騒音振動管理の数値整理（実務連動）,騒音聴力管理の数値整理（実務連動）
numbers.csv,numbers.csv,similar,0.938,noise-vibration-num-s36,vibration-mgmt-num-s41,騒音振動管理の数値整理（実務連動）,振動管理の数値整理（実務連動）
numbers.csv,numbers.csv,similar,0.938,record-retention-num-s36,record-retention-period-num-s41,記録保存の数値整理（実務連動）,記録保存期間の数値整理（実務連動）
numbers.csv,numbers.csv,similar,0.882,noise-vibration-num-s37,noise-hearing-mgmt-num-s42,騒音振動管理の数値整理（試験頻出）,騒音聴力管理の数値整理（試験頻出）
numbers.csv,numbers.csv,similar,0.938,noise-vibration-num-s37,vibration-mgmt-num-s42,騒音振動管理の数値整理（試験頻出）,振動管理の数値整理（試験頻出）
numbers.csv,numbers.csv,similar,0.938,record-retention-num-s37,record-retention-period-num-s42,記録保存の数値整理（試験頻出）,記録保存期間の数値整理（試験頻出）
numbers.csv,numbers.csv,similar,0.889,committee-operation-num-s38,committee-minutes-num-s43,委員会運営の数値整理（判例・ガイド）,委員会議事の数値整理（判例・ガイド）
numbers.csv,numbers.csv,similar,0.889,ppe-selection-num-s38,ppe-mgmt-num-s43,保護具選定の数値整理（判例・ガイド）,保護具管理の数値整理（判例・ガイド）
numbers.csv,numbers.csv,similar,0.895,noise-vibration-num-s38,noise-hearing-mgmt-num-s43,騒音振動管理の数値整理（判例・ガイド）,騒音聴力管理の数値整理（判例・ガイド）
numbers.csv,numbers.csv,similar,0.944,noise-vibration-num-s38,vibration-mgmt-num-s43,騒音振動管理の数値整理（判例・ガイド）,振動管理の数値整理（判例・ガイド）
numbers.csv,numbers.csv,similar,0.944,record-retention-num-s38,record-retention-period-num-s43,記録保存の数値整理（判例・ガイド）,記録保存期間の数値整理（判例・ガイド）
numbers.csv,numbers.csv,similar,0.882,noise-vibration-num-s39,noise-hearing-mgmt-num-s44,騒音振動管理の数値整理（横断総合）,騒音聴力管理の数値整理（横断総合）
numbers.csv,numbers.csv,similar,0.938,noise-vibration-num-s39,vibration-mgmt-num-s44,騒音振動管理の数値整理（横断総合）,振動管理の数値整理（横断総合）
numbers.csv,numbers.csv,similar,0.938,record-retention-num-s39,record-retention-period-num-s44,記録保存の数値整理（横断総合）,記録保存期間の数値整理（横断総合）
mistakes.csv,mistakes.csv,similar,0.882,noise-vibration-mis-s35,noise-hearing-mgmt-mis-s40,騒音振動管理の典型誤答（基礎整理）,騒音聴力管理の典型誤答（基礎整理）
